Match Email Sent,Matchmaker,Order,Mentee,Year,Area of Interest,Participating in 2022-23?,Matched?,Match,Mentor Email,Mentee Email,Mentee interests/identity,Mentor interests/identity,Notes,Last Emailed?,,Key:,Available
,,30,Mentee AD,4-Senior,"Clinical psychology, Counseling psychology, Health psychology, I'm planning on becoming a Psych Nurse",TRUE,FALSE,Available, ,mentee_ad@uw.edu,,,,,,,
,,31,Mentee AE,3-Junior,"Cognition and perception, Developmental psychology, Industrial/organizational psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_ae@uw.edu,,,,,,,
,,32,Mentee AF,1-First-Year,"Clinical psychology, Forensic psychology, Social and personality psychology",TRUE,FALSE,Available, ,#REF!,,,,,,,
,,33,Mentee AG,3-Junior,"Cognition and perception, Counseling psychology, Cultural psychology, Educational psychology / school psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_af@uw.edu,,,,,,,
,,34,Mentee AH,3-Junior,"Developmental psychology, Educational psychology / school psychology, Health psychology, Industrial/organizational psychology, Social and personality psychology, Sports psychology",TRUE,FALSE,Available, ,mentee_ag@uw.edu,,,,,,,
,,35,Mentee AI,4-Senior,"Clinical psychology, Counseling psychology",TRUE,FALSE,Available, ,mentee_ah@uw.edu,,,,,,,
,,36,Mentee AJ,2-Sophomore,"Counseling psychology, Cultural psychology, Educational psychology / school psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_ai@uw.edu,,,,,,,
,,37,Mentee AK,2-Sophomore,"Counseling psychology, Developmental psychology, Educational psychology / school psychology, Health psychology, Child Psychology ",TRUE,FALSE,Available, ,mentee_aj@uw.edu,,,,,,,
,,38,Mentee AL,3-Junior,Clinical psychology,TRUE,FALSE,Available, ,mentee_ak@uw.edu,,,,,,,
,,39,Mentee AM,2-Sophomore,"Clinical psychology, Counseling psychology, adolescent psychology",TRUE,FALSE,Available, ,mentee_am@uw.edu,,,,,,,
,,40,Mentee AN,2-Sophomore,"Clinical psychology, Cultural psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_an@uw.edu,,,,,,,
,,41,Mentee AO,2-Sophomore,"Behavioral neuroscience / biological psychology, Clinical psychology, Cognition and perception, Counseling psychology, Health psychology",TRUE,FALSE,Available, ,mentee_ao@uw.edu,,,,,,,
,,42,Mentee AP,2-Sophomore,"Behavioral neuroscience / biological psychology, Clinical psychology, Cognition and perception, Counseling psychology",TRUE,FALSE,Available, ,mentee_ap@uw.edu,,,,,,,
,,43,Mentee AQ,3-Junior,"Behavioral neuroscience / biological psychology, Clinical psychology, Counseling psychology, Developmental psychology, Forensic psychology, Social and personality psychology, Sports psychology",TRUE,FALSE,Available, ,mentee_aq@uw.edu,,,,,,,
,,44,Mentee AR,4-Senior,"Clinical psychology, Counseling psychology",TRUE,FALSE,Available, ,mentee_ar@uw.edu,,,,,,,
,,45,Mentee AS,4-Senior,"Clinical psychology, Counseling psychology, Developmental psychology, Educational psychology / school psychology",TRUE,FALSE,Available, ,mentee_as@uw.edu,,,,,,,
,,46,Mentee AT,3-Junior,"Behavioral neuroscience / biological psychology, Clinical psychology, Cognition and perception, Counseling psychology, Cultural psychology, Developmental psychology, Educational psychology / school psychology, Health psychology",TRUE,FALSE,Available, ,mentee_at@uw.edu,,,,,,,
,,47,Mentee AU,2-Sophomore,"Behavioral neuroscience / biological psychology, I am leaning toward pursuing Psychiatry",TRUE,FALSE,Available, ,mentee_au@uw.edu,,,,,,,
,,48,Mentee AV,2-Sophomore,"Cognition and perception, Counseling psychology, Developmental psychology, Educational psychology / school psychology, Social and personality psychology",TRUE,FALSE,Available, ,mentee_av@uw.edu,,,,,,,
,,49,Mentee AW,2-Sophomore,"Clinical psychology, Counseling psychology, Cultural psychology, Social and personality psychology, Sports psychology",TRUE,FALSE,Available, ,mentee_aw@uw.edu,,,,,,,
,,50,Mentee AX,3-Junior,,TRUE,FALSE,Available, ,mentee_ax@uw.edu,,,,,,,
